iter	Passed	Remaining
0	0	70
1	1	60
2	1	54
3	2	48
4	2	47
5	2	45
6	3	44
7	3	42
8	4	41
9	4	40
10	4	39
11	5	38
12	5	37
13	5	36
14	6	36
15	6	36
16	7	35
17	7	34
18	7	34
19	8	33
20	8	32
21	9	32
22	9	31
23	9	30
24	10	30
25	10	29
26	10	29
27	11	28
28	11	28
29	11	27
30	12	27
31	12	26
32	12	26
33	13	25
34	13	25
35	14	24
36	14	24
37	14	24
38	15	23
39	15	23
40	15	22
41	16	22
42	16	21
43	16	21
44	17	21
45	17	20
46	17	20
47	18	19
48	18	19
49	18	18
50	19	18
51	19	18
52	20	17
53	20	17
54	20	16
55	21	16
56	21	16
57	21	15
58	22	15
59	22	15
60	22	14
61	23	14
62	23	13
63	23	13
64	24	13
65	24	12
66	25	12
67	25	11
68	25	11
69	26	11
70	26	10
71	26	10
72	27	10
73	27	9
74	27	9
75	28	8
76	28	8
77	28	8
78	29	7
79	29	7
80	29	7
81	30	6
82	30	6
83	30	5
84	31	5
85	31	5
86	32	4
87	32	4
88	32	4
89	33	3
90	33	3
91	33	2
92	34	2
93	34	2
94	34	1
95	35	1
96	35	1
97	35	0
98	36	0
99	36	0
